job_title,job_location,job_department,job_url,first_seen,base_salary,job_type,job_level,job_apply_end_date,last_seen,is_active,company,company_url,job_board,job_board_url
Assistant Manager,Yogyakarta,Admin And Ops,https://dealls.com/role/assistant-manager-3,22/08/2024 07:11:18,2000000,fullTime,N/A,,2024-08-09T08:07:03.476Z,True,PT Victory International Futures,N/A,Dealls,https://dealls.com/
Marketplace Analyst,Yogyakarta,Marketing And Social Media,https://dealls.com/role/marketplace-analyst,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-03T09:51:03.269Z,True,PT Champion Multikarya Pandhega,N/A,Dealls,https://dealls.com/
Sales Engineer,Jakarta,Business Dev And Sales,https://dealls.com/role/sales-engineer-18,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-07-24T07:06:48.139Z,True,PT Unitama Analitika Perkasa,N/A,Dealls,https://dealls.com/
Account Officer,Sleman Regency,Business Dev And Sales,https://dealls.com/role/account-officer-10,22/08/2024 07:11:18,2500000,fullTime,N/A,,2024-08-04T16:25:20.843Z,True,Pincare,N/A,Dealls,https://dealls.com/
Medical Representative Supervisor (Bogor),Jakarta,Business Dev And Sales,https://dealls.com/role/medical-representative-supervisor-bogor,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-06-05T03:22:06.494Z,True,mGanik Group - PT Mganik Grup Mitra Indonesia,N/A,Dealls,https://dealls.com/
IT Application Consultant,Jakarta Selatan,It And Engineering,https://dealls.com/role/it-application-consultant,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-06T07:57:28.386Z,True,CARE TECHNOLOGIES,N/A,Dealls,https://dealls.com/
Sales person,Jakarta Pusat,Business Dev And Sales,https://dealls.com/role/sales-person,22/08/2024 07:11:18,5000000,contract,N/A,,2024-08-12T06:55:11.072Z,True,PT Bintang Sempurna,N/A,Dealls,https://dealls.com/
SME & Auto Collection Manager,Jakarta Selatan,Business Dev And Sales,https://dealls.com/role/sme-and-auto-collection-manager,22/08/2024 07:11:18,N/A,fullTime,N/A,,2023-03-08T14:14:23.718Z,True,Pepper Advantage Indonesia (PT Pepper Services Indonesia),N/A,Dealls,https://dealls.com/
Artificial Intelligence Videographer Junior Executive,Jakarta Selatan,Design And Creative,https://dealls.com/role/artificial-intelligence-videographer-junior-executive,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-07-29T05:19:36.909Z,True,AiSENSUM,N/A,Dealls,https://dealls.com/
HR Supervisor (Mandarin),Jakarta Selatan,Recruiting And People,https://dealls.com/role/hr-supervisor-mandarin,22/08/2024 07:11:18,15000000,fullTime,N/A,,2024-08-07T11:29:44.847Z,True,PT. Karir Bangun Bersama (Careernbuilding),N/A,Dealls,https://dealls.com/
Brand Manager (F&B),Tangerang,Marketing And Social Media,https://dealls.com/role/brand-manager-fandb,22/08/2024 07:11:18,8000000,fullTime,N/A,,2024-07-25T03:04:23.653Z,True,Oelek Selera Nusantara,N/A,Dealls,https://dealls.com/
Asisten Apoteker,Jakarta Selatan,Health And Science,https://dealls.com/role/asisten-apoteker-2,22/08/2024 07:11:18,N/A,contract,N/A,,2024-08-05T06:20:12.726Z,True,Filmore Pharma,N/A,Dealls,https://dealls.com/
Conten Creator,Yogyakarta,Marketing And Social Media,https://dealls.com/role/conten-creator,22/08/2024 07:11:18,2000000,fullTime,N/A,,2024-07-23T01:11:14.335Z,True,Indobot Academy,N/A,Dealls,https://dealls.com/
Account Executive at Qualita Company,Tangerang Selatan,Business Dev And Sales,https://dealls.com/role/account-executive-at-qualita-company,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-07-12T11:23:01.990Z,True,Redwoods Digital,N/A,Dealls,https://dealls.com/
Content Creator Intern,Malang,Marketing And Social Media,https://dealls.com/role/content-creator-intern-8,22/08/2024 07:11:18,500000,internship,N/A,,2024-07-23T02:52:55.323Z,True,Macroscope Berdikari Nusantara,N/A,Dealls,https://dealls.com/
Head of Brand Management,Bandung,Marketing And Social Media,https://dealls.com/role/head-of-brand-management,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-07-29T02:13:54.040Z,True,Torch.id,N/A,Dealls,https://dealls.com/
Purchase,Depok,Admin And Ops,https://dealls.com/role/purchase,22/08/2024 07:11:18,4000000,contract,N/A,,2024-08-15T09:45:24.226Z,True,PT. VENTURA SEMESTA WISATA,N/A,Dealls,https://dealls.com/
Community Specialist Intern,Jakarta Selatan,Marketing And Social Media,https://dealls.com/role/community-specialist-intern,22/08/2024 07:11:18,900000,internship,N/A,,2024-08-05T09:07:00.051Z,True,Suzuverse Indonesia,N/A,Dealls,https://dealls.com/
Sales Representative,Bandung,Business Dev And Sales,https://dealls.com/role/sales-representative-30,22/08/2024 07:11:18,N/A,contract,N/A,,2024-08-08T08:33:07.897Z,True,Assist.id,N/A,Dealls,https://dealls.com/
Conten Creator,Yogyakarta,Marketing And Social Media,https://dealls.com/role/conten-creator,22/08/2024 07:11:18,2000000,fullTime,N/A,,2024-07-23T01:11:14.335Z,True,Indobot Academy,N/A,Dealls,https://dealls.com/
Brand Manager (F&B),Tangerang,Marketing And Social Media,https://dealls.com/role/brand-manager-fandb,22/08/2024 07:11:18,8000000,fullTime,N/A,,2024-07-25T03:04:23.653Z,True,Oelek Selera Nusantara,N/A,Dealls,https://dealls.com/
Content Creator Intern,Malang,Marketing And Social Media,https://dealls.com/role/content-creator-intern-8,22/08/2024 07:11:18,500000,internship,N/A,,2024-07-23T02:52:55.323Z,True,Macroscope Berdikari Nusantara,N/A,Dealls,https://dealls.com/
Account Executive at Qualita Company,Tangerang Selatan,Business Dev And Sales,https://dealls.com/role/account-executive-at-qualita-company,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-07-12T11:23:01.990Z,True,Redwoods Digital,N/A,Dealls,https://dealls.com/
Head of Brand Management,Bandung,Marketing And Social Media,https://dealls.com/role/head-of-brand-management,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-07-29T02:13:54.040Z,True,Torch.id,N/A,Dealls,https://dealls.com/
Sales Representative,Bandung,Business Dev And Sales,https://dealls.com/role/sales-representative-30,22/08/2024 07:11:18,N/A,contract,N/A,,2024-08-08T08:33:07.897Z,True,Assist.id,N/A,Dealls,https://dealls.com/
Purchase,Depok,Admin And Ops,https://dealls.com/role/purchase,22/08/2024 07:11:18,4000000,contract,N/A,,2024-08-15T09:45:24.226Z,True,PT. VENTURA SEMESTA WISATA,N/A,Dealls,https://dealls.com/
